GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gurkeImp,com.myproject.s_MSMR,S_MSMR,17,458,1,13,5,72,5,11,4,5
gurkeImp,com.myproject.s_MSMR,S_MSMR.Ciphertext,0,15,0,0,0,6,0,1,0,1
gurkeImp,com.myproject.s_MSMR,S_MSMR.InitResult,0,9,0,0,0,4,0,1,0,1
gurkeImp,com.myproject.s_MSMR,S_MSMR.ReceiverState,0,12,0,0,0,5,0,1,0,1
gurkeImp,com.myproject.s_MSMR,S_MSMR.SenderState,0,18,0,0,0,7,0,1,0,1
gurkeImp,com.myproject.s_MSMR,S_MSMR.ReceiverState.ReceiverInfo,0,9,0,0,0,4,0,1,0,1
gurkeImp,com.myproject.s_MSMR,S_MSMR.ProcSndResult,0,15,0,0,0,6,0,1,0,1
gurkeImp,com.myproject.s_MSMR,S_MSMR.ProcRcvFailure,6,0,0,0,3,0,1,0,1,0
gurkeImp,com.myproject.s_MSMR,S_MSMR.ProcRcvResult,0,12,0,0,0,5,0,1,0,1
gurkeImp,com.myproject.s_MSMR,S_MSMR.Kid,0,15,0,0,0,6,0,1,0,1
gurkeImp,default,NIKEexample.KeyPair,15,0,0,0,6,0,3,0,3,0
gurkeImp,default,NIKEexample,135,0,2,0,28,0,6,0,5,0
gurkeImp,com.myproject.d_SSMR,d_SSMR,39,811,9,23,8,154,8,21,1,12
gurkeImp,com.myproject.d_SSMR,d_SSMR.Ciphertext,0,15,0,0,0,6,0,1,0,1
gurkeImp,com.myproject.d_SSMR,d_SSMR.ReceiveResult,0,12,0,0,0,5,0,1,0,1
gurkeImp,com.myproject.d_SSMR,d_SSMR.AddResult,0,18,0,0,0,7,0,1,0,1
gurkeImp,com.myproject.d_SSMR,d_SSMR.ReceiveFailure,6,0,0,0,3,0,1,0,1,0
gurkeImp,com.myproject.d_SSMR,d_SSMR.EncapsResult,0,15,0,0,0,6,0,1,0,1
gurkeImp,com.myproject.d_SSMR,d_SSMR.senderState,0,21,0,0,0,7,0,1,0,1
gurkeImp,com.myproject.d_SSMR,d_SSMR.RemoveResult,0,15,0,0,0,6,0,1,0,1
gurkeImp,com.myproject.d_SSMR,d_SSMR.ReceiverState,0,21,0,0,0,7,0,1,0,1
gurkeImp,com.myproject.d_SSMR,d_SSMR.SendResult,0,15,0,0,0,6,0,1,0,1
gurkeImp,com.myproject.d_SSMR,d_SSMR.Kid,0,12,0,0,0,4,0,1,0,1
gurkeImp,com.myproject.d_SSMR,d_SSMR.InitResult,0,9,0,0,0,4,0,1,0,1
